zoneIndex,x,y,z,localID,ptype
2,62457.140625,59609.664062,14136.044922,Monument1_C--jbard--ASSDYBKGCJDONEXHJDCXOCOHEIOP--1675118702--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument56,fractalMatch|match3
2,52046.015625,47764.566406,12578.134766,Monument1_C--jbard--ASWHYYHCKNAYENRNRKDFKPJQNQVL--1675118827--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument62,fractalMatch|match3
6,-52401.3125,-17300.974609,26587.755859,Monument1_C--jbard--ATMRAFJWNIAEBIYWWYKCLSJUCDQQ--1680595866--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument19,fractalMatch|lockpick|match3|klotski
2,17907.585938,50461.683594,10647.894531,Monument1_C--jbard--ATYNLGHHRUTUMOTYZJTKBKYTAFKM--1675117792--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument22,fractalMatch|match3
4,-12058.269531,61315.847656,8611.716797,Monument1_C--jbard--AUKTRERMBTUPXYCNGGCEAFJXDRDE--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument60,fractalMatch|lockpick|match3|klotski
2,39897.425781,66182.890625,1823.364014,Monument1_C--jbard--BDWUHLPMSAQBLHAQHTZCQMZPNCGO--1675118195--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument35,fractalMatch|match3
4,-35783.300781,75789.625,9865.714844,Monument1_C--jbard--BEWEWCWGGIEFYQUUJFJNDBSGBHMM--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument4_28,fractalMatch|lockpick|match3|klotski
3,27325.40625,28234.416016,15450,Monument1_C--jbard--BHIEFOFGTNWJPMKCIGQGHKYLSUJT--1667852711--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument2,fractalMatch|lockpick|match3
3,14416.868164,18889.974609,14631.193359,Monument1_C--jbard--BHTZSDOUORJXAPVZCRMDIOUAKZTH--1667853080--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument27_60,fractalMatch|lockpick|match3
4,-24884.412109,54858.078125,12583.624023,Monument1_C--jbard--BIDTWENDZMCSBSTRQDLFDCHXDQJR--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument38,fractalMatch|lockpick|match3|klotski
4,-34593.335938,78217.125,15615.354492,Monument1_C--jbard--BJRXUEJGIZLCFQIIGGGTMOADTEBH--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument1_10,fractalMatch|lockpick|match3|klotski
2,25807.517578,54306.039062,10520.913086,Monument1_C--jbard--BMKPDNKOMYHXVHAKETCVKWWCJYZQ--1675119002--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument67,fractalMatch|match3
3,25071.066406,21030.341797,15140.734375,Monument1_C--jbard--BMWYAKQTIVYZNCOGXWFGXSEDAVZL--1667852711--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument5,fractalMatch|lockpick|match3
3,18991.175781,18389.494141,15567.644531,Monument1_C--jbard--BZPSEYXNECQJVUPKZBEWERCUABWB--1667853080--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument18_29,fractalMatch|lockpick|match3
4,-13612.225586,32160.871094,15574.106445,Monument1_C--jbard--CBAUDRNTNDWRTUFTDDXYVMXMWDTM--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument32_63,fractalMatch|lockpick|match3|klotski
2,35351.683594,47814.234375,9168.543945,Monument1_C--jbard--CBTJKCWHMGBOJJQBNKKMOCQWFKIA--1675117902--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument27,fractalMatch|match3
4,-28989.699219,34175.183594,14349.175781,Monument1_C--jbard--CBXBGMPDEHCNOORKEDDMSWASNEHG--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument44,fractalMatch|lockpick|match3|klotski
3,10088.683594,41108.800781,12814.660156,Monument1_C--jbard--CDRBQMRWBKOYNBKRDWHOTHYUULZY--1667853080--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument23_50,fractalMatch|lockpick|match3
6,-40727.59375,-8820.520508,37302.347656,Monument1_C--jbard--CERXHIYCKKVEJDCEJSYRTWLNKROU--1680595256--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument3,fractalMatch|lockpick|match3|klotski
6,-11943.172852,-5813.187988,32595.064453,Monument1_C--jbard--CWRDXXHSFCOOFDHATCORWVRRHZWY--1680595757--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument17,fractalMatch|lockpick|match3|klotski
6,-41200.914062,17612.572266,21956.726562,Monument1_C--jbard--CZFAAZISZEAMEHQKGNONGOWNBVXF--1680598297--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument59,fractalMatch|lockpick|match3|klotski
4,-28560.775391,28325.8125,17170,Monument1_C--jbard--DDQYZFIGMZLPGSUKUTREKSWJREGT--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument42_79,fractalMatch|lockpick|match3|klotski
3,21097.154297,26485.232422,14868.935547,Monument1_C--jbard--DEQAJHXDSDFUFURMGOELXCEUDUOD--1667853080--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument22_47,fractalMatch|lockpick|match3
6,-37627.050781,23268.705078,18208.263672,Monument1_C--jbard--DGKUTXJOTLYDBPLBZHRZPPHYJXVH--1680598445--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument65,fractalMatch|lockpick|match3|klotski
4,-13621.71875,55876.414062,13950,Monument1_C--jbard--DNAFYFPIKKLXMZEQLZSJRGUKWBTN--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument22,fractalMatch|lockpick|match3|klotski
4,-34002.113281,60670.804688,10200.369141,Monument1_C--jbard--DPTOZDXGVOOWQISMKYSWZJXQORCF--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument39_72,fractalMatch|lockpick|match3|klotski
6,-44048.285156,14962.68457,23141.925781,Monument1_C--jbard--DTVGMVMSPTXFESXHHFNDHKCGEEGY--1680598546--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument68,fractalMatch|lockpick|match3|klotski
4,-33209.25,75444.585938,10979.573242,Monument1_C--jbard--DYWUPTFOCVPKIWJEIGJAKNCSIVQM--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument72,fractalMatch|lockpick|match3|klotski
6,-53705.613281,-1091.179077,24378.001953,Monument1_C--jbard--EBGDYOBIBVHKSOELYCNUERJQELZS--1680596281--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument30,fractalMatch|lockpick|match3|klotski
4,-26975.419922,77011.914062,13467.203125,Monument1_C--jbard--EBNADMYGRRRQGFROMJYWJASCIQPS--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument73,fractalMatch|lockpick|match3|klotski
6,-32124.349609,-11277.851562,41172.273438,Monument1_C--jbard--ECSEPPDUWTTCJXDNZTVSBOUQZJOD--1680595584--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument12,fractalMatch|lockpick|match3|klotski
4,-30249.589844,56760.183594,6588.410645,Monument1_C--jbard--ECZPIJWZIBEUMCTPVZKAMHTTYFZS--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument40,fractalMatch|lockpick|match3|klotski
6,-12881.791016,-5620.651855,31728.515625,Monument1_C--jbard--EDCEFSSWHUNRKHBIZWHUORMCJDDN--1680595744--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument16,fractalMatch|lockpick|match3|klotski
6,-39961.867188,13410.175781,23934.546875,Monument1_C--jbard--EJTYDMSTPZAWQLGHGEEYMHYQVKWH--1680598579--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument70,fractalMatch|lockpick|match3|klotski
6,-47921.199219,-8639.986328,36940.699219,Monument1_C--jbard--EOVJAAEXVLGAWJSMOSGBBOCRTIOM--1680596305--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument31,fractalMatch|lockpick|match3|klotski
3,-206.969406,19785.007812,14666.396484,Monument1_C--jbard--EQVAQTEDYXGUXMKVYYXXAEAERLBL--1667853080--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument25_56,fractalMatch|lockpick|match3
6,-46879.441406,3596.469482,25572.617188,Monument1_C--jbard--ERRIMBYSPPSJOIXZOXJLRWYRAXNL--1680596634--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument42,fractalMatch|lockpick|match3|klotski
3,15331.672852,12966.017578,15501.427734,Monument1_C--jbard--EUGVECIYCTDMRLZJHADKZTWIHMRV--1667853080--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument19_32,fractalMatch|lockpick|match3
2,4013.660156,65309.992188,1164.064819,Monument1_C--jbard--EUXGFDQOKBMQFBYTPCSNUEQPQPKU--1675117594--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument14,fractalMatch|match3
3,6987.78125,44216.320312,13576.289062,Monument1_C--jbard--EXQPHKISYPPFZBDGHNATMIZYLQPX--1667853080--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument16_23,fractalMatch|lockpick|match3
2,36572.171875,87066.742188,9655.861328,Monument1_C--jbard--EXVGEKZHVTEGAIAEKGBMAFKFDSKF--1675117243--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument1_C_1,fractalMatch|match3
2,25870.714844,60149.796875,6266.498047,Monument1_C--jbard--EYJXPUACLUWUUUZXSOZCMUUSXDPF--1675118411--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument43,fractalMatch|match3
2,31484.791016,82271.765625,9613.222656,Monument1_C--jbard--EYMSTWOBGBNDWRFSIWVSIIEXEYUC--1675118481--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument46,fractalMatch|match3
4,-22548.082031,40264.398438,15185.887695,Monument1_C--jbard--FEQXAUEUFQDEZTFYYORGLGNIWCSN--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument35,fractalMatch|lockpick|match3|klotski
4,-34375.253906,43085.847656,18299.023438,Monument1_C--jbard--FFNZSYPYHSYJZKEKEAXPZXTPEAJO--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument48,fractalMatch|lockpick|match3|klotski
6,-18871.945312,-9888.595703,26072.724609,Monument1_C--jbard--FHMYPYMNXIVDFUETIUEGNMPWDTIP--1680595783--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument18,fractalMatch|lockpick|match3|klotski
2,26963.865234,91464.382812,11620.398438,Monument1_C--jbard--FHSDQZCEWPCGRDJBSYSWJYPJYPHE--1675117397--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument6,fractalMatch|match3
6,-50326.902344,11884.677734,31926.599609,Monument1_C--jbard--FLWAOVBWPYZBKJJAHLNBVWUVWKIG--1680596329--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument32,fractalMatch|lockpick|match3|klotski
2,36989.378906,55348.324219,7723.041504,Monument1_C--jbard--FPDFAETEYFZSAGFHDWLLUFPMOJCC--1675118108--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument32,fractalMatch|match3
4,-15858.988281,56053.484375,13953.494141,Monument1_C--jbard--FPJDUKPJRCHAMNHVPQUFILDZMXKE--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument27,fractalMatch|lockpick|match3|klotski
6,-47278.804688,-2998.111572,29500.052734,Monument1_C--jbard--FTQDPARGWGXFXLPFRWLIUXTGQNCR--1680598843--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument76,fractalMatch|lockpick|match3|klotski
2,47320.53125,67986.703125,7198.63916,Monument1_C--jbard--FZPFEESHFHAWHDDTAVJTPCCQZAHX--1675118279--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument39,fractalMatch|match3
4,-18470.044922,78163.585938,9743.955078,Monument1_C--jbard--GAFHCOFTNRRPSUCXREVKWTOLDHBE--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument71,fractalMatch|lockpick|match3|klotski
6,-11352.696289,-688.678528,19412.800781,Monument1_C--jbard--GCFQILMLXTOMJGJDBGIPNXQNSXCG--1680598063--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument51,fractalMatch|lockpick|match3|klotski
2,48280.503906,56597.878906,14588.353516,Monument1_C--jbard--GDCMWKNSMZTQQLKMVKPLZGNOILAK--1675118766--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument59,fractalMatch|match3
6,-25744.351562,6226.155273,26430.173828,Monument1_C--jbard--GHNTXXVPXAOMWIFENKFKQCNRSKFF--1680596006--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument22,fractalMatch|lockpick|match3|klotski
6,-52436.195312,5167.193848,23682.703125,Monument1_C--jbard--GKUMUAIRXSVTIVQLEEXCCZIUXAKQ--1680596601--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument41,fractalMatch|lockpick|match3|klotski
6,-29063.757812,20598.792969,20226.40625,Monument1_C--jbard--GMBVHJINWPPMOQMDRLREXWNNGVEW--1680598238--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument57,fractalMatch|lockpick|match3|klotski
4,-9182.638672,40954.941406,13486.652344,Monument1_C--jbard--GNCDZKCOQTFWJXBLVEFXRRWYOERA--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument30,fractalMatch|lockpick|match3|klotski
4,-22285.78125,83271.835938,12970.132812,Monument1_C--jbard--GQKYKUKFBVXEDUKQQHMXCQHNABTW--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument7,fractalMatch|lockpick|match3|klotski
4,-36044.273438,39297.636719,16258.744141,Monument1_C--jbard--GRNQBVYJXZUGQLOFVFHYYYCEZLNR--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument43,fractalMatch|lockpick|match3|klotski
6,-24030.283203,7444.520508,23482.375,Monument1_C--jbard--GRPYMUIHERZEISPSICDRABXDYBUE--1680596208--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument27,fractalMatch|lockpick|match3|klotski
4,-37780,60890,8901.292969,Monument1_C--jbard--GSSULGVBMSFWTKGMJINJOUSAHWOP--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument41_76,fractalMatch|lockpick|match3|klotski
6,-29502.634766,13338.476562,20676.089844,Monument1_C--jbard--GVQZFTAHECCAJCJSAUWCLMGZZTTI--1680598151--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument53,fractalMatch|lockpick|match3|klotski
4,-21155.689453,57285.457031,6810,Monument1_C--jbard--HBNEFECGFGPCAJEQQPAQORUAJXNV--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument56_96,fractalMatch|lockpick|match3|klotski
4,-10985.669922,65345.09375,6817.907227,Monument1_C--jbard--HDJPFRTCHICUXMSMMWBSNFFXPCXK--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument16,fractalMatch|lockpick|match3|klotski
4,-5348.902344,64798.039062,12875.847656,Monument1_C--jbard--HDLNUNVLCHADFYMZQPZVYXJUYGJH--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument20,fractalMatch|lockpick|match3|klotski
2,28863.027344,45115.480469,12516.238281,Monument1_C--jbard--HEMHAQSYXBVJOJNAGPTWDXERLABL--1675117855--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument25,fractalMatch|match3
3,-5063.394043,44365.300781,13639.291016,Monument1_C--jbard--HFBSGJSUGUTZLYBSDKDXLZREXVFL--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument31_60,fractalMatch|lockpick|match3|klotski
4,-28110.984375,75761.804688,13049.738281,Monument1_C--jbard--HFWMEGCEFMCEVNSRLBUYXPNFSIHY--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument70_113,fractalMatch|lockpick|match3|klotski
4,-9441.457031,74338.960938,10288.969727,Monument1_C--jbard--HIXYQXTXAIOEKHLZPIIBBLBVYUXE--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument19,fractalMatch|lockpick|match3|klotski
4,-15097.219727,79799.210938,16199.352539,Monument1_C--jbard--HKZMGRGBHDFGARQAVOGLSNTMRDBM--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument75,fractalMatch|lockpick|match3|klotski
6,-52489.835938,-13643.051758,25698.349609,Monument1_C--jbard--HLACRISXKUHZLYZPIKPKSYTIATQT--1680598785--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument74,fractalMatch|lockpick|match3|klotski
6,-49795.699219,16695.705078,23674.974609,Monument1_C--jbard--HLUSGNBJZKDPGEQDUCBOFFPNTGSC--1680598387--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument63,fractalMatch|lockpick|match3|klotski
2,9842.341797,66394.304688,1100.151245,Monument1_C--jbard--HMXYWQVMXVPSSBFFCBJZMUUAITZM--1675117570--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument12,fractalMatch|match3
4,-30715.037109,53302.535156,12486.057617,Monument1_C--jbard--HOXAGRKOYBOFPMFSPJNLRPNBFNHW--1667853836--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/RiverlandPuzzles/RiverlandSlabs.RiverlandSlabs:PersistentLevel.Monument64,fractalMatch|lockpick|match3|klotski
3,-3902.700195,13387.301758,16510,Monument1_C--jbard--HRKUTOHQWYEPZSDBDEFUJREXAWUG--1667853080--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Central/CentralPuzzles/CentralSlabs.CentralSlabs:PersistentLevel.Monument38_93,fractalMatch|lockpick|match3
2,52575.589844,49812.585938,10211.019531,Monument1_C--jbard--HTLMGTSPMPREIUNCIDMUGUHQSDAR--1675118811--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument61,fractalMatch|match3
6,-16544.337891,424.244812,17467.257812,Monument1_C--jbard--HYXGFYOSTGYKCZGNOMIADNVMQHGT--1680597998--Monument1_C /Game/ASophia/Maps/MainMapSubmaps/Mountain/MountainPuzzles/Mountain_Slabs.Mountain_Slabs:PersistentLevel.Monument48,fractalMatch|lockpick|match3|klotski
2,11848.272461,49258.964844,10705.301758,Monument1_C--jbard--IALYIXRIABAGGKVJLWCIIYNXKJPK--1675117766--Monument1_C /Game/ASophia/Maps/TestingSubmaps/RainforestPlacement/RainforestJeffrey.RainforestJeffrey:PersistentLevel.Monument21,fractalMatch|match3
