pid	difficulty	solvePath	pdata	status	zone
2038	3	1:1, 2:0, 2:2, 0:0, 0:2	AAILAAADAwACAAQBAwUHAgQBBAMIBQIHBgEogAAAAQ==	dungeon	
2190	3	0:1, 1:2, 2:3, 1:0, 2:1, 3:0, 5:0, 4:1, 3:2, 3:1, 4:2, 4:3, 5:2		dungeon	
2542	3	5:1, 4:2, 9:3, 8:4, 9:5, 8:5, 7:5, 0:1, 0:2, 1:1, 0:3, 1:2, 2:2, 1:3, 1:4, 2:3, 3:1, 2:0, 4:0, 1:0, 3:0, 5:0, 6:3, 6:4, 5:4, 3:4, 4:5, 2:5, 2:4, 1:5, 0:5, 3:3, 4:3, 5:3, 6:2, 6:1, 7:2, 8:2, 7:3, 7:4, 6:5, 9:1, 8:1, 9:0, 7:0, 7:1, 6:0		dungeon	
16484	3	1:4, 2:5, 0:1, 1:2, 3:5, 3:4, 3:3, 0:0, 1:0, 2:0, 1:3, 2:3, 0:5, 0:3, 2:1, 0:4, 2:2, 3:0, 3:1, 3:2		dungeon	
16691	3	1:8, 5:6, 6:6, 4:6, 4:4, 7:4, 6:3, 5:3, 4:3, 2:3, 1:3, 3:3, 0:5, 3:5, 3:4, 4:5, 3:6, 3:9, 0:4, 1:6, 2:6, 2:9, 1:9, 4:7, 4:8, 7:5, 6:1, 3:2, 3:1, 4:0, 5:0, 6:0		dungeon	
2034	4	0:2, 0:0, 2:2, 2:0, 4:2, 4:0, 3:0, 3:2, 1:2, 1:0		dungeon	
2049	4	2:0, 4:3, 0:1, 2:1, 4:2, 4:4, 5:3, 5:2, 1:2, 1:1, 0:0, 0:2, 0:3, 3:4, 3:1, 4:1, 5:1, 3:3, 2:3, 1:3, 4:0, 5:0, 1:4, 0:4		dungeon	
2719	5	2:1, 3:1, 2:3, 3:3, 1:2, 0:2, 4:2, 5:2, 2:6, 3:6, 4:7, 4:8, 3:9, 2:9, 1:8, 1:7, 8:7, 8:8, 10:6, 10:7, 8:5, 9:5, 7:6, 6:6, 9:9, 10:9, 11:8, 12:8, 2:0, 3:0, 4:1, 5:1, 6:2, 4:3, 5:3, 6:3, 7:3, 5:4, 6:4, 7:4, 5:5, 6:5, 7:5, 3:4, 2:4, 1:3, 0:3, 1:1, 0:1, 2:5, 3:5, 4:6, 5:7, 5:8, 4:9, 3:10, 2:10, 1:9, 0:8, 0:7, 1:6, 5:6, 6:7, 7:7, 7:8, 8:9, 9:10, 10:10, 11:9, 12:9, 12:7, 11:7, 11:6, 10:5, 9:4, 8:4, 9:3, 6:1, 7:2, 8:2, 8:3, 8:1, 8:0, 7:1, 9:1, 10:3, 10:4, 11:3, 4:4, 4:5, 1:4, 1:5, 0:4, 0:5, 0:6, 0:0, 1:0, 4:0, 5:0, 6:0, 7:0, 0:9, 0:10, 1:10, 6:8, 5:9, 4:10, 7:9, 8:10, 6:9, 5:10, 6:10, 7:10, 11:10, 12:10, 11:5, 12:6, 11:4, 11:2, 12:5, 12:4, 12:3, 9:0, 10:0, 11:0, 12:2, 12:1, 12:0, 11:1	AAELAAsNAQAMgUmBS4FjgWWBZ4F/ggGCGYIbgh2CNYI3BAAOFxwdIyRWV11eZGprcXICBR0CIwNeBGQFOlxIAkMBAGGEsyRgwAAAYMyJFEiZgwAAAAAB	dungeon	
3030	5	0:3, 2:4, 3:5, 3:6, 1:1, 2:2, 5:4, 6:5, 7:3, 4:0, 6:1, 6:2, 7:1, 6:3, 7:4, 7:5, 7:6, 6:6, 5:6, 5:5, 4:5, 4:4, 2:6, 1:6, 1:5, 1:4, 1:3, 2:3, 3:3, 0:5, 0:6, 0:2, 0:1, 0:0, 1:0, 2:0, 2:1, 3:1, 3:4, 4:3, 3:2, 4:2, 5:2, 4:1, 5:3, 5:0, 6:0, 7:0		dungeon	
2045	5	1:2, 3:3, 5:3, 5:2, 5:1, 4:2, 2:1, 3:1, 4:1, 4:4, 5:4, 5:5, 4:5, 3:5, 2:5, 1:5, 0:5, 1:4, 0:3, 0:4, 2:4, 2:3, 0:2, 0:1, 0:0, 1:0, 2:0, 2:2, 3:0, 4:0, 4:3, 5:0	AAELAAYGAAUABAcPExsCBAcNDwMTAxsNQAECAlVCQwHqpo7gAAAAAQ==	dungeon	
					
					
					
					
3031	6	2:2, 4:2, 0:3, 1:1, 3:0, 0:0, 3:1, 3:3, 2:3, 3:4, 4:3, 2:4, 0:4, 1:3, 1:2, 0:1, 1:0, 2:1, 5:4, 6:4, 6:3, 5:3, 5:2, 6:1, 6:0, 5:1, 4:0, 4:1		dungeon	
2196	6	0:5, 1:6, 6:5, 5:6, 5:0, 6:1, 5:1, 4:2, 1:1, 2:2, 5:3, 4:3, 4:4, 5:5, 6:4, 6:3, 6:2, 3:5, 1:3, 2:4, 1:5, 0:4, 2:3, 3:3, 2:6, 3:6, 4:6, 0:2, 3:2, 3:1, 4:0, 3:0, 2:0, 1:0, 0:1, 0:3	AAELAAcHAAUADAYJCw8THR8hJScqMAEBAAINCQQPAx0EJQULBBMDIQMnBh8GKgEwAQYBAAFAAQICVUIB/Iyv2LjfAAAAAw==	dungeon	
16483	7	0:1, 1:2, 1:4, 2:5, 5:4, 6:5, 2:1, 4:1, 3:5, 7:5, 7:4, 7:3, 0:0, 1:0, 2:0, 1:3, 0:5, 0:4, 0:3, 4:4, 3:4, 5:3, 2:3, 2:2, 3:2, 3:3, 4:5, 4:3, 4:2, 5:2, 6:3, 4:0, 5:0, 6:0, 3:1, 3:0, 6:1, 7:1, 6:2, 7:2, 7:0	AAELAAYIAAUABwkNECImKS0CCwkCDQIQAiICJgIpAi0CCgEMARcBBwFAAgICVQICAEJDAf+qQv9VMwAACw==	dungeon	
3029	8	6:4, 5:3, 4:3, 7:3, 7:2, 1:2, 0:1, 1:1, 4:1, 6:2, 6:1, 5:1, 7:1, 5:0, 4:2, 2:3, 2:2, 3:3, 3:4, 3:1, 3:0, 2:0, 4:0, 7:0, 8:0, 8:1, 8:3, 0:0, 0:2, 4:4, 1:4, 5:4, 8:4, 8:2, 1:3, 0:4, 0:3		dungeon	
244	9	6:2, 6:3, 6:4, 2:3, 1:4, 1:2, 3:3, 2:4, 3:2, 7:1, 6:5, 6:6, 6:7, 5:1, 4:1, 2:1, 1:1, 7:8, 4:2, 2:5, 2:6, 1:7, 1:5, 1:8, 4:3, 3:6, 5:7, 7:6, 8:7, 7:5, 5:6, 5:2, 7:3, 8:2, 7:4, 8:4, 5:3, 8:5, 4:6, 3:4, 4:7, 3:7, 2:8, 4:8, 5:8, 8:8, 8:1, 3:5		dungeon	
3032	9	7:5, 7:7, 6:7, 5:6, 6:6, 6:5, 6:4, 6:3, 7:2, 6:2, 5:3, 5:4, 5:5, 4:6, 3:7, 3:6, 4:5, 4:4, 4:3, 5:2, 1:6, 1:7, 2:7, 3:5, 4:2, 5:1, 6:1, 7:1, 2:6, 2:5, 3:4, 3:3, 3:2, 2:1, 1:1, 1:3, 2:4, 2:3, 2:2		dungeon	
					
					
					
					
2047	10	9:0, 4:1, 6:7, 4:7, 5:7, 3:1, 4:2, 2:2, 2:3, 4:0, 3:0, 2:0, 2:1, 1:1, 1:0, 0:0, 0:1, 1:2, 0:2, 0:3, 3:3, 4:3, 3:4, 1:3, 5:0, 5:1, 8:5, 8:4, 7:5, 9:5, 8:6, 7:4, 7:3, 6:3, 5:2, 6:2, 7:2, 8:3, 9:4, 9:3, 9:2, 8:2, 8:1, 9:1, 8:0, 7:0, 7:1, 6:4, 5:4, 6:5, 5:3, 6:1, 6:0, 4:4, 4:5, 5:5, 4:6, 9:6, 7:6, 6:6, 5:6, 9:9, 3:6, 2:5, 1:4, 2:4, 1:5, 0:4, 0:5, 3:5, 2:6, 3:7, 4:8, 5:8, 0:6, 1:6, 0:7, 0:9, 1:9, 2:9, 3:9, 3:8, 4:9, 2:8, 1:8, 0:8, 2:7, 1:7, 5:9, 6:8, 6:9, 7:9, 7:7, 7:8, 8:8, 8:7, 9:7, 9:8, 8:9, 14:1, 14:2, 14:3, 14:5, 14:6, 14:7, 14:8, 14:9, 14:4			
					
					
					
