pid	difficulty	solvePath	pdata	status	zone
185	9	0:9, 1:8, 0:7, 7:9, 8:8, 9:9, 9:2, 8:1, 9:0, 1:1, 2:0, 0:0, 1:9, 9:8, 8:0, 0:1, 0:4, 7:8, 2:1, 3:0, 1:2, 2:2, 6:9, 8:7, 7:7, 7:0, 7:3, 7:2, 8:2, 7:1, 9:3, 1:7, 0:6, 0:5, 2:8, 2:9, 2:7, 2:6, 3:7, 3:8, 3:6, 8:4, 9:5, 8:5, 8:6, 7:6, 9:7, 7:5, 7:4, 9:4, 6:4, 6:5, 6:6, 6:3, 2:5, 5:9, 0:2, 1:3, 1:4, 2:3, 1:5, 2:4, 4:9, 6:8, 6:7, 5:8, 4:8, 4:7, 5:7, 4:6, 5:6, 5:5, 3:5, 4:5, 4:4, 3:4, 5:4, 5:2, 5:3, 4:3, 6:2, 6:1, 5:1, 4:2, 3:3, 3:2, 3:1, 4:1, 4:0, 5:0		dungeon	lostgridsLogic
199	10	4:11, 3:12, 5:12, 4:13, 5:14, 4:15, 5:16, 6:15, 4:17, 3:16, 3:14, 3:15, 2:14, 3:13, 2:13, 2:12, 1:13, 1:14, 1:16, 1:11, 2:10, 3:11, 3:10, 1:12, 0:13, 0:11, 0:10, 0:9, 0:12, 1:9, 1:8, 2:9, 3:9, 4:9, 3:8, 5:10, 5:9, 6:10, 5:11, 5:13, 0:14, 0:15, 0:16, 0:17, 1:15, 2:16, 1:17, 2:17, 3:17, 1:18, 2:18, 3:18, 4:18, 5:18, 5:17, 6:18, 8:18, 9:17, 10:18, 9:16, 10:15, 10:17, 11:16, 14:13, 13:14, 15:14, 15:12, 16:13, 14:12, 12:12, 10:11, 10:9, 14:15, 13:15, 14:16, 15:15, 16:15, 15:16, 17:16, 16:14, 15:17, 16:17, 18:17, 17:18, 18:18, 13:18, 13:17, 12:16, 14:17, 14:18, 15:18, 16:18, 18:16, 18:15, 16:16, 18:14, 17:14, 17:13, 18:13, 17:12, 18:12, 18:11, 17:11, 16:12, 12:18, 12:17, 11:18, 11:17, 12:15, 11:15, 12:14, 14:7, 13:6, 13:4, 14:5, 14:3, 15:4, 15:3, 16:4, 15:5, 15:6, 16:5, 17:5, 16:6, 16:7, 17:6, 18:6, 17:7, 18:7, 18:8, 17:8, 18:9, 16:8, 17:9, 18:10, 17:10, 16:9, 16:10, 18:4, 17:4, 18:3, 17:3, 18:2, 17:2, 18:1, 16:2, 17:1, 18:0, 17:0, 16:0, 16:1, 15:2, 14:2, 15:1, 15:0, 14:1, 14:0, 13:0, 13:1, 13:2, 12:1, 12:3, 12:2, 11:3, 12:4, 14:6, 15:8, 12:5, 11:4, 10:1, 12:0, 6:3, 5:4, 7:4, 6:5, 3:4, 4:5, 4:3, 4:2, 5:3, 3:3, 2:3, 3:2, 4:1, 6:1, 3:5, 4:8, 5:8, 4:7, 2:8, 0:8, 8:15, 8:14, 7:15, 8:16, 9:15, 9:14, 6:14, 6:16, 7:13, 8:13, 6:13, 7:16, 6:17, 7:17, 8:17, 16:11, 15:11, 11:10, 9:10, 11:14, 10:14, 11:11, 11:6, 6:9, 6:8, 7:8, 7:7, 7:12, 6:12, 6:11, 3:7, 2:7, 3:6, 5:6, 5:5, 6:6, 5:7, 6:7, 8:5, 1:7, 0:7, 0:6, 5:1, 6:2, 7:2, 7:1, 15:9, 15:10, 11:0, 11:1, 10:2, 10:0, 5:0, 4:0, 3:0, 2:0, 3:1, 2:2, 2:1, 1:2, 0:3, 0:4, 0:5, 1:4, 2:5, 1:5, 2:6, 1:6, 1:3, 0:2, 1:1, 0:1, 1:0, 9:11, 9:4, 9:3, 9:1, 9:2, 8:1, 8:2, 7:0, 8:0, 9:0, 0:0, 7:3, 10:3, 10:4, 11:5, 12:6, 12:7, 13:8, 14:8, 12:9, 13:11, 12:8, 13:9, 14:9, 13:10, 11:8, 11:9, 14:10, 14:11, 13:12, 12:11, 12:13, 11:13, 11:12, 11:7, 8:12, 10:13, 9:13, 9:12, 7:18, 0:18, 8:11, 8:10, 7:11, 7:10, 7:9, 8:9, 8:8, 9:9, 9:8, 8:7, 10:7, 9:7, 10:6, 10:5, 8:3, 8:4, 9:5, 9:6, 8:6, 7:5	AAAAExMABQAkBisxRklOUFJabHF2eYESgRSBIoE/gUKBSIFKgVOBaIFuggSCBoIOghGCGIIfgiKCLoI0gjqCPYJUgl8CJAYHKwIxAkYCSQZOAlAKUgFaCmwDcQd2AnkCgRIEgRQGgSIRgT8CgUICgUgRgUoCgVMCgWgBgW4RggQCggYBgg4KghEEghgKgh8CgiIBgi4EgjQBgjoBgj0DglQFgl8BQAECAlVCQwEBP5/lGCS5M5mlUcy9JLylzH7V4FK1z1bIWue6d136GSVZp2rZpVZS35/SBoIAAA==	dungeon	lostgridsLogic
223	5	1:1, 0:2, 6:7, 7:6, 7:1, 8:2, 5:1, 5:0, 4:0, 3:0, 7:3, 8:3, 6:2, 6:0, 2:0, 1:2, 2:4, 2:8, 3:7, 4:8, 1:7, 2:6, 0:3, 3:3, 2:1, 3:4, 4:5, 4:6, 5:4, 6:4, 4:3, 4:2, 5:6, 6:5, 6:8, 8:6, 4:1, 1:4, 4:7, 7:4, 6:3, 2:2, 1:5, 1:6, 2:5, 3:1, 0:4, 0:6, 3:2, 5:2, 7:0, 8:1, 8:5, 8:4, 8:7, 7:7, 3:6, 5:8, 7:8	AAAACQkBAAGBCQQACwABCQ8ZKC0yPEFLAQIcHQUERoEJgVyCIgcIAAoBCAkKGQYoDy0LPAVLDQIBBYEQEFFBVJVQAUSAhFACRYWkUYAA	dungeon	lostgridsLogic
261	7	0:3, 0:7, 3:9, 3:12, 9:12, 9:9, 12:7, 12:3, 8:2, 4:2, 3:5, 5:8, 7:8, 9:5, 1:3, 0:4, 0:8, 1:7, 0:6, 1:8, 2:9, 3:10, 9:11, 8:12, 10:12, 10:11, 6:8, 5:7, 7:7, 6:7, 6:6, 4:6, 7:6, 6:5, 7:5, 5:6, 4:7, 3:6, 4:5, 2:5, 2:6, 5:5, 5:4, 5:3, 6:4, 8:6, 8:7, 8:5, 9:6, 10:6, 10:5, 10:4, 11:5, 7:4, 10:10, 2:10, 10:9, 11:10, 11:9, 11:8, 11:7, 10:8, 10:7, 11:6, 12:6, 11:4, 11:3, 10:3, 10:2, 9:1, 8:1, 10:1, 9:2, 7:2, 6:2, 6:3, 6:1, 7:1, 7:3, 7:0, 6:0, 5:0, 5:2, 5:1, 2:2, 3:2, 1:2, 8:0, 4:0, 2:1, 12:4, 12:5, 12:8, 11:2, 9:10, 8:10, 8:11, 7:10, 7:11, 7:12, 6:12, 6:10, 5:12, 6:11, 5:11, 4:11, 3:11, 2:11, 2:12, 4:12, 4:10, 5:10, 1:10, 1:5, 1:9, 2:8, 2:7, 1:6, 3:1, 4:1, 2:3, 2:4, 1:4, 0:5		dungeon	lostgridsLogic
265	7	13:6, 14:6, 13:7, 14:7, 11:6, 12:6, 11:7, 12:7, 5:10, 6:10, 5:11, 6:11, 3:10, 4:10, 3:11, 4:11, 4:8, 5:8, 4:9, 5:9, 2:8, 3:8, 2:9, 3:9, 12:8, 13:8, 12:9, 13:9, 14:8, 15:8, 14:9, 15:9, 14:4, 15:4, 14:5, 15:5, 2:12, 3:12, 2:13, 3:13, 4:12, 5:12, 4:13, 5:13, 12:4, 13:4, 12:5, 13:5, 16:8, 17:8, 16:9, 17:9, 0:8, 1:8, 0:9, 1:9, 1:6, 2:6, 1:7, 2:7, 3:14, 4:14, 3:15, 4:15, 5:14, 6:14, 5:15, 6:15, 6:12, 7:12, 6:13, 7:13, 10:4, 11:4, 10:5, 11:5, 11:2, 12:2, 11:3, 12:3, 13:2, 14:2, 13:3, 14:3, 15:10, 16:10, 15:11, 16:11, 5:6, 6:6, 5:7, 6:7, 11:10, 12:10, 11:11, 12:11, 6:4, 7:4, 6:5, 7:5, 10:12, 11:12, 10:13, 11:13, 4:4, 5:4, 4:5, 5:5, 2:4, 3:4, 2:5, 3:5, 3:2, 4:2, 3:3, 4:3, 5:2, 6:2, 5:3, 6:3, 4:0, 5:0, 4:1, 5:1, 6:0, 7:0, 6:1, 7:1, 7:2, 8:2, 7:3, 8:3, 8:0, 9:0, 8:1, 9:1, 14:12, 15:12, 14:13, 15:13, 13:14, 14:14, 13:15, 14:15, 12:16, 13:16, 12:17, 13:17, 10:16, 11:16, 10:17, 11:17, 8:16, 9:16, 8:17, 9:17, 9:14, 10:14, 9:15, 10:15, 11:14, 12:14, 11:15, 12:15, 12:12, 13:12, 12:13, 13:13, 7:6, 8:6, 7:7, 8:7, 9:10, 10:10, 9:11, 10:11, 7:14, 8:14, 7:15, 8:15, 6:16, 7:16, 6:17, 7:17, 7:10, 8:10, 7:11, 8:11, 6:8, 7:8, 6:9, 7:9, 9:6, 10:6, 9:7, 10:7, 10:8, 11:8, 10:9, 11:9, 9:2, 10:2, 9:3, 10:3, 10:0, 11:0, 10:1, 11:1, 12:0, 13:0, 12:1, 13:1, 4:16, 5:16, 4:17, 5:17		dungeon	lostgridsLogic
283	5	6:5, 6:3, 5:4, 7:4, 5:5, 3:5, 2:4, 4:6, 4:3, 5:6, 3:3, 5:7, 3:2, 2:3, 6:6, 1:2, 7:7, 7:6, 1:3, 0:3, 8:6, 0:1, 7:5, 8:5, 8:4, 8:3, 1:4, 0:4, 0:5, 0:6, 1:5, 6:7, 6:8, 6:9, 7:8, 2:2, 2:1, 2:0, 1:1, 1:0, 0:0, 5:8, 3:1, 4:8, 4:1, 3:0, 4:0, 5:0, 5:9, 4:9, 3:9, 2:8, 6:1, 3:7, 3:8, 5:1, 6:0, 2:9, 1:9, 7:0, 2:7, 1:7, 0:9, 0:8, 0:7, 3:6, 2:6, 1:6, 2:5, 8:9, 8:8, 8:7, 8:0, 8:1, 7:1, 7:2, 7:3, 6:2, 5:2, 4:2, 5:3	AAAACgkBAAGBRwMACRIaJygqMUNJWAIHEgQaCiceKgFDB0kEWAMFAYFHASEnFBFSUpIiizkhAAA=	dungeon	lostgridsLogic
284	3	7:4, 7:2, 6:3, 8:3, 2:2, 3:1, 4:2, 3:3, 2:3, 3:4, 4:3, 0:6, 1:5, 0:4, 10:6, 10:4, 9:5, 9:8, 4:5, 6:5, 5:5, 5:3, 5:2, 5:1, 5:6, 5:7, 6:6, 4:6, 3:6, 6:2, 6:1, 4:7, 4:0, 3:0, 2:0, 5:0, 6:0, 4:8, 3:7, 2:7, 7:1, 8:1, 7:0, 8:0, 9:0, 3:8, 2:8, 1:8, 1:1, 1:2, 0:1, 1:0, 0:0, 0:3, 1:3, 1:4, 1:6, 1:7, 2:5, 2:4, 3:5, 0:8, 10:0, 9:1, 10:1, 10:2, 0:7, 9:3, 9:4, 9:2, 8:2, 9:7, 9:6, 8:7, 10:8, 8:5, 7:8, 7:7, 7:6, 8:6, 7:5, 8:4, 6:7, 6:8, 5:8		dungeon	lostgridsLogic
352	3	3:6, 4:5, 5:6, 2:6, 3:5, 4:4, 5:5, 6:6, 5:0, 6:1, 7:2, 6:0, 7:1, 5:1, 6:2, 7:3, 4:1, 3:1, 4:2, 6:3, 3:2, 2:2, 3:3, 5:3, 6:4, 4:3, 5:4, 6:5, 7:4, 7:5, 3:0, 2:1, 2:0, 1:0, 0:0, 1:1, 0:6, 1:5, 2:4, 1:3, 0:2, 0:1, 1:2, 0:3, 1:4, 0:5, 1:6, 2:5, 3:4		dungeon	lostgridsLogic
371	3	2:0, 5:0, 2:3, 2:4, 1:5, 3:5, 1:1, 1:2, 3:1, 3:2, 0:1, 0:2, 0:4, 1:6, 4:1, 6:1, 6:2, 5:3, 4:2, 4:3, 7:1, 7:2, 6:4, 7:4, 4:4, 5:6, 6:5, 3:6, 3:7, 2:7, 1:7, 0:7, 4:6, 4:7, 0:3, 5:4, 6:6, 7:7		dungeon	lostgridsLogic
373	5	5:0, 4:1, 5:2, 6:1, 7:1, 6:2, 8:0, 8:1, 7:6, 5:7, 4:6, 5:5, 4:4, 3:1, 2:0, 2:1, 2:2, 3:3, 4:3, 6:3, 6:4, 7:4, 8:3, 8:2, 3:5, 2:5, 1:4, 3:6, 2:3, 1:3, 6:5, 6:7, 8:5, 8:6, 8:4, 7:8, 6:8, 8:8, 4:8, 3:8, 2:7, 0:7, 0:6, 1:6, 1:8, 1:7, 2:6, 0:5, 0:3, 0:2, 1:2, 1:1, 1:0		dungeon	lostgridsLogic
377	5	3:8, 4:7, 5:8, 3:0, 3:1, 5:0, 5:1, 5:5, 6:4, 7:5, 6:2, 6:3, 7:2, 4:2, 4:3, 5:2, 8:2, 8:3, 7:1, 8:1, 8:0, 7:0, 3:2, 2:2, 3:3, 3:4, 2:3, 0:2, 0:3, 0:4, 1:3, 2:4, 1:4, 2:5, 2:6, 3:5, 1:5, 0:5, 1:6, 1:2, 1:1, 1:0, 0:0, 0:1, 4:6, 5:6, 5:4, 5:3, 3:6, 3:7, 1:7, 1:8, 0:8, 0:7, 0:6, 6:7, 7:7, 8:4, 8:5, 8:6, 7:8, 6:8, 7:6, 5:7		dungeon	lostgridsLogic
379	4	0:1, 1:0, 8:9, 9:8, 9:1, 8:0, 7:0, 8:1, 8:2, 7:1, 6:1, 7:2, 9:3, 5:0, 4:1, 6:2, 6:3, 5:2, 5:1, 4:0, 3:0, 4:2, 3:2, 3:1, 2:1, 1:1, 1:2, 0:2, 0:3, 0:4, 1:3, 2:2, 3:3, 2:4, 1:4, 0:5, 3:5, 2:5, 1:5, 0:6, 0:7, 1:6, 2:6, 3:4, 4:4, 1:7, 1:8, 0:9, 1:9, 2:9, 3:9, 2:8, 2:7, 3:7, 3:8, 4:8, 4:9, 5:9, 6:9, 5:8, 4:7, 5:6, 6:7, 6:8, 7:9, 7:8, 7:7, 6:6, 6:5, 7:6, 8:8, 8:7, 8:6, 7:5, 7:4, 8:5, 9:5, 8:4, 5:4, 5:3, 5:5, 4:6, 3:6, 8:3, 7:3, 9:4, 9:7, 9:6, 4:3, 2:0		dungeon	lostgridsLogic
380	5	5:6, 6:5, 7:6, 7:7, 8:6, 7:5, 8:5, 7:4, 7:3, 8:4, 6:4, 5:4, 6:3, 4:5, 4:4, 3:5, 4:6, 3:6, 4:7, 5:7, 4:8, 3:7, 2:7, 3:8, 3:9, 3:10, 2:9, 4:9, 5:9, 4:10, 4:11, 5:10, 2:11, 1:11, 2:10, 6:8, 6:7, 7:8, 6:9, 6:10, 7:10, 7:9, 8:9, 8:10, 7:11, 9:11, 8:8, 9:9, 9:10, 10:11, 9:7, 9:6, 10:7, 9:8, 10:9, 10:10, 11:11, 11:10, 11:9, 10:8, 11:8, 11:7, 11:6, 11:5, 11:4, 10:5, 9:4, 9:3, 10:4, 11:3, 10:0, 11:1, 8:2, 10:2, 9:2, 10:1, 9:1, 8:1, 9:0, 8:0, 7:2, 6:2, 7:1, 7:0, 10:3, 11:2, 10:6, 6:11, 5:11, 2:8, 1:8, 6:1, 5:1, 4:1, 5:0, 5:3, 5:2, 6:0, 3:0, 4:3, 3:3, 2:4, 1:4, 2:3, 2:5, 4:2, 3:2, 3:1, 2:2, 2:0, 2:1, 1:2, 1:0, 1:1, 0:0, 0:1, 0:2, 1:3, 0:3, 0:4, 0:5, 0:6, 1:5, 1:6, 1:7, 0:7, 0:8, 0:9, 1:10, 0:10, 0:11		dungeon	lostgridsLogic
382	4	0:4, 1:5, 0:6, 6:5, 6:6, 6:7, 5:6, 6:4, 7:5, 5:5, 7:6, 8:5, 4:6, 8:3, 8:4, 7:3, 6:2, 8:2, 7:2, 7:1, 8:1, 8:0, 6:0, 7:0, 6:1, 5:1, 6:3, 5:0, 4:0, 3:0, 6:8, 5:8, 4:8, 4:7, 3:8, 3:7, 2:8, 2:6, 2:7, 1:7, 1:6, 0:7, 1:8, 3:6, 0:8, 3:5, 4:5, 8:6, 8:7, 7:7, 5:4, 4:4, 3:4, 1:4, 2:0, 1:0, 0:0, 0:1, 0:2, 0:3, 5:3, 4:2, 3:1, 2:1, 1:1, 1:2, 1:3, 2:3, 2:4, 2:2, 3:3, 3:2, 4:3, 8:8		dungeon	lostgridsLogic
384	6	2:8, 3:7, 3:4, 2:3, 2:0, 6:3, 7:2, 7:7, 9:7, 1:5, 2:5, 2:6, 1:7, 3:6, 2:1, 0:0, 1:3, 1:8, 0:6, 0:8, 1:4, 3:5, 4:5, 4:4, 2:9, 3:9, 4:9, 4:8, 5:7, 2:10, 3:10, 0:2, 0:4, 0:5, 0:7, 1:2, 2:2, 1:1, 0:1, 3:1, 4:0, 1:9, 1:10, 0:10, 4:10, 5:1, 4:1, 5:0, 6:0, 6:1, 7:0, 5:2, 5:3, 4:2, 3:2, 4:3, 7:1, 5:4, 6:4, 5:5, 4:6, 4:7, 5:8, 6:8, 6:6, 6:5, 5:6, 7:6, 5:9, 5:10, 6:10, 6:9, 7:9, 7:10, 8:9, 7:8, 8:10, 10:10, 10:8, 10:6, 10:5, 9:6, 9:8, 8:6, 8:5, 8:4, 8:3, 8:8, 9:9, 10:9, 9:4, 9:5, 10:4, 7:5, 7:4, 9:3, 10:3, 10:2, 10:1, 8:2, 8:1, 9:1, 9:0, 8:0, 10:0		dungeon	lostgridsLogic
388	7	9:0, 10:1, 9:6, 6:7, 5:8, 6:8, 7:8, 5:9, 6:9, 7:9, 4:10, 5:10, 6:10, 7:10, 8:10, 2:8, 3:9, 2:9, 1:8, 3:8, 4:8, 5:7, 5:6, 4:7, 3:7, 4:6, 2:7, 2:4, 2:5, 2:6, 1:4, 2:3, 3:4, 3:6, 3:5, 4:4, 4:5, 5:5, 6:5, 7:6, 7:5, 8:6, 7:7, 5:4, 3:3, 3:2, 1:2, 0:2, 0:3, 1:1, 2:1, 1:0, 2:0, 1:5, 0:6, 1:6, 0:7, 1:7, 0:9, 0:10, 1:10, 2:10, 3:10, 0:8, 0:4, 4:9, 8:8, 8:9, 9:10, 4:3, 5:3, 6:4, 4:2, 7:3, 7:4, 8:4, 9:4, 8:5, 8:3, 8:2, 9:3, 10:5, 10:4, 10:6, 10:7, 10:3, 9:2, 9:1, 6:1, 8:1, 7:1, 8:0, 6:2, 5:2, 6:3, 4:1, 5:1, 4:0, 3:1, 3:0, 0:1, 5:0, 6:0, 7:0, 10:2, 8:7, 9:8, 10:8, 10:9, 9:9		dungeon	lostgridsLogic
394	7	3:4, 2:3, 3:2, 4:3, 4:4, 5:3, 4:2, 3:1, 2:2, 1:3, 2:4, 3:5, 4:5, 1:4, 2:1, 5:2, 0:1, 3:6, 5:6, 4:7, 2:6, 3:7, 4:8, 5:7, 6:6, 5:5, 6:5, 2:7, 5:8, 2:9, 1:5, 3:9, 4:9, 2:8, 1:8, 1:9, 0:8, 0:7, 0:6, 1:6, 0:5, 0:3, 6:8, 3:0, 4:0, 5:0, 7:2, 7:3, 8:2, 9:4, 7:1, 8:1, 9:2, 9:0, 8:0, 1:0, 1:1, 0:0, 0:2, 6:1, 6:3, 6:4, 7:4, 5:1, 6:0, 9:3, 8:4, 8:5, 9:5, 8:6, 7:6, 7:8, 9:8, 8:9, 8:7, 9:7, 7:7, 9:9, 7:9, 6:9		dungeon	lostgridsLogic
