localID,pid,fields,dx,dy,dz,dpitch,dyaw,droll,msx,msy,msz,datetime,comment
racingRingCourseCamphorC,25292,OriginalTransform,2506,-4798,1293,0,35,290,0.85,0.8,0.85,2025-04-20_14-46-33,
racingRingCourseCamphorC,25292,DuplicateTransform-4,200,-6808,1293,0,35,70,0.85,0.85,0.8,2025-04-20_14-47-19,
racingRingCourseCamphorC,25292,DuplicateTransform-3,366,-6946,1293,0,55,290,0.85,0.85,0.8,2025-04-20_14-49-49,
racingRingCourseCamphorC,25292,DuplicateTransform-6,182,-4798,1293,0,-35,290,0.85,0.85,0.8,2025-04-20_14-50-42,
racingRingCourseCamphorC,25292,DuplicateTransform-5,344,-4638,1293,0,-55,70,0.85,0.85,0.8,2025-04-20_14-50-44,
BP_RuneAnimated_C WrapLR_pid760,-1,ActorTransform,16304,29722,18705,0,0,0,1,1,1,2025-04-20_15-30-43,
BP_RuneAnimated_C WrapFour_pid1192,-1,ActorTransform,10818,30838,19649,0,0,0,1,1,1,2025-04-20_15-33-37,
BP_RuneAnimated_C WrapLR_pid1177,-1,ActorTransform,10827,31279,19649,0,0,0,1,1,1,2025-04-20_15-33-43,
BP_RuneAnimated_C WrapFour_pid1180,-1,ActorTransform,13985,30283,19897,0,0,0,1,1,1,2025-04-20_15-37-46,
matchboxCamphorL,25272,Mesh2Transform,1037,-3161,1425,0,0,0,1,1,1,2025-04-20_16-08-31,
matchboxCamphorL,25272,Mesh1Transform,3328,-5552,-190,0,0,0,1,1,1,2025-04-20_16-09-20,
matchboxCamphorC,25265,Mesh2Transform,-1392,1249,-127,7,36,0,0.8,0.8,0.8,2025-04-20_16-13-41,
matchboxCamphorC,25265,Mesh1Transform,-830,3696,-704,0,0,-1,0.72,0.72,0.72,2025-04-20_16-19-24,
racingRingCourseCamphorA,25290,DuplicateTransform-6,29,-3659,444,0,0,90,0.8,0.8,0.8,2025-04-20_16-29-34,
racingRingCourseCamphorB,25291,DuplicateTransform-1,1315,-3740,510,0,0,190,1,1,1,2025-05-02_13-19-49,
racingRingCourseCamphorB,25291,DuplicateTransform-14,1316,-3457,-163,0,0,-50,1,1,1,2025-05-02_13-19-53,
racingRingCourseCamphorB,25291,DuplicateTransform-0,1315,-3460,1060,0,0,70,1,1,1,2025-05-02_13-20-01,
matchboxCamphorI,25271,Mesh1Transform,1494,2080,-783,0,-4,0,1,1,1,2025-05-02_13-28-05,
BP_RuneAnimated_C WrapFour_pid1255,-1,ActorTransform,16772,31071,20184,0,0,0,1,1,1,2025-05-02_14-20-06,
matchboxCamphorK,25273,Mesh1Transform,689,-5178,-757,0,9,0,0.8,0.8,0.8,2025-05-02_15-15-24,
matchboxCamphorI,25271,Mesh2Transform,-166,-64,-772,5.02,100.55,-21.45,0.6,0.66,0.66,2025-05-02_20-42-42,
matchboxCamphorH,25270,Mesh2Transform,2665,-9022,375,0,0,0,1.4,1.4,1.4,2025-05-02_22-57-52,
racingRingCourseCamphorB,25291,DuplicateTransform-10,2618,-5462,132,0,70,90,1,1,1,2025-05-02_23-22-50,
racingRingCourseCamphorB,25291,DuplicateTransform-11,1055,-5420,72,0,-70,90,1,1,1,2025-05-02_23-23-29,
racingRingCourseCamphorB,25291,StartingPlatformTransform,3138,-5664,-44,0,-290,0,1,1,1,2025-05-02_23-24-22,
matchboxCamphorL,25274,Mesh1Transform,8,-8694,1583,0,0,0,1.54,1.54,1.54,2025-05-02_23-42-26,
matchboxCamphorL,25274,Mesh2Transform,101,-4514,2036,0,38,0,1.12,1.12,1.12,2025-05-02_23-43-20,
matchboxCamphorH,25270,Mesh1Transform,113,-6979,2026,0,48,0,1.4,1.4,1.4,2025-05-02_23-43-28,
matchboxCamphorK,25273,Mesh2Transform,-1906,-5780,-743,-7,0,0,0.7,1,1,2025-05-03_11-49-37,
BP_RuneAnimated_C WrapLR_pid679,-1,ActorTransform,11026,39180,18658,0,0,0,1,1,1,2025-05-03_12-10-41,
BP_RuneAnimated_C WrapLR_pid710,-1,ActorTransform,11086,38622,18658,0,0,0,1,1,1,2025-05-03_12-11-41,
BP_RuneAnimated_C WrapLR_pid712,-1,ActorTransform,11344,37941,18658,0,0,0,1,1,1,2025-05-03_12-11-47,
BP_RuneAnimated_C WrapLR_pid687,-1,ActorTransform,13320,38240,18668,0,0,0,1,1,1,2025-05-03_12-12-00,
BP_RuneAnimated_C WrapLR_pid678,-1,ActorTransform,13262,39129,18688,0,0,0,1,1,1,2025-05-03_12-12-11,
BP_RuneAnimated_C WrapLR_pid1303,-1,ActorTransform,12623,31391,18705,0,0,0,1,1,1,2025-05-03_12-12-53,
BP_RuneAnimated_C WrapLR_pid750,-1,ActorTransform,12650,30255,18705,0,0,0,1,1,1,2025-05-03_12-12-58,
BP_RuneAnimated_C WrapLR_pid708,-1,ActorTransform,12530,30845,18705,0,0,0,1,1,1,2025-05-03_12-13-01,
BP_RuneAnimated_C WrapLR_pid713,-1,ActorTransform,14396,31840,18705,0,0,0,1,1,1,2025-05-03_12-13-36,
BP_RuneAnimated_C WrapLR_pid1176,-1,ActorTransform,13820,31960,18705,0,0,0,1,1,1,2025-05-03_12-13-40,
BP_RuneAnimated_C WrapLR_pid1166,-1,ActorTransform,13340,31910,18705,0,0,0,1,1,1,2025-05-03_12-13-44,
BP_RuneAnimated_C WrapFour_pid943,-1,ActorTransform,13208,33944,20006,0,0,0,1,1,1,2025-05-03_12-14-54,
BP_RuneAnimated_C WrapFour_pid269,-1,ActorTransform,14210,30501,19897,0,0,0,1,1,1,2025-05-03_12-15-54,
BP_RuneAnimated_C WrapFour_pid873,-1,ActorTransform,14335,30909,19897,0,0,0,1,1,1,2025-05-03_12-16-00,
BP_RuneAnimated_C WrapFour_pid942,-1,ActorTransform,13415,32353,21575,0,0,0,1,1,1,2025-05-03_12-18-41,
BP_RuneAnimated_C WrapFour_pid1302,-1,ActorTransform,14718,31045,21575,0,0,0,1,1,1,2025-05-03_12-19-07,
BP_RuneAnimated_C WrapFour_pid941,-1,ActorTransform,11994,30038,19408,0,0,0,1,1,1,2025-05-03_12-20-22,
BP_RuneAnimated_C WrapFour_pid1135,-1,ActorTransform,12010,31774,19854,0,0,0,1,1,1,2025-05-03_12-38-11,
racingRingCourseCamphorA,25290,DuplicateTransform-1,30,-1066,142,0,0,-90,0.72,0.72,0.72,2025-05-03_12-41-31,
racingRingCourseCamphorA,25290,DuplicateTransform-7,31,455,-53,0,0,90,0.8,0.8,0.8,2025-05-03_12-42-31,
BP_RuneAnimated_C WrapFour_pid1164,-1,ActorTransform,12682,29701,20305,0,0,0,1,1,1,2025-05-03_12-45-41,
BP_RuneAnimated_C WrapLR_pid707,-1,ActorTransform,12993,37527,18663,0,0,0,1,1,1,2025-05-03_15-59-26,
